id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
119026,"Социальный товар Тушка цыпленка-бройлера 1 Сорт (0,8-1,5 кг), 1 упаковка ~ 1,2 кг",https://www.auchan.ru/product/kdtushka_cb_1sort_ohl_paket/,179.97,,Каждый день
121407,"Окорок цыпленка-бройлера «Своя» (0,5-1 кг), 1 упаковка ~ 0,8 кг",https://www.auchan.ru/product/svoya_okorochok_cb_ohl_lotok/,276.99,,СВОЯ
72841,"Бедро куриное «Куриное царство» охлажденное (0,9 - 1,2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/bedro_tmkurinoe_carstvo/,251.99,,Куриное Царство
118735,"Голень цыпленка-бройлера «Каждый день» (0,7-1,2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/kdgolen_cb_ohl_podlozhka/,268.99,,Каждый день
131544,"Грудка цыпленка-бройлера «Каждый день» (0,7-1,4 кг), 1 упаковка ~ 1,2 кг",https://www.auchan.ru/product/kd-grudka-cypl-broyl-ohl-podl-2/,304.99,,Каждый день
226707,"Филе грудки цыплят-бройлеров «Петелинка» (0,7-1,1 кг), 1 упаковка ~ 0,9",https://www.auchan.ru/product/file-grudki-petelinka-v-u-kg/,488.99,,Петелинка
145440,"Крыло плечевая часть цыпленка-бройлера «Павловская курочка», 700 г",https://www.auchan.ru/product/krylo-plech-chast-cb-ohl-700g/,265.99,,Павловская Курочка
22599,"Филе бедра Rokoko охлажденное, 750 г",https://www.auchan.ru/product/file-bedra-rokoko-ohlazhdennoe-750-g/,386.99,,Рококо
245490,"Крылышки куриные «Петелинка» Острые для запекания, вес",https://www.auchan.ru/product/krylyshki-ostrye-d-zapekaniya/,326.99,,Петелинка
56575,"Грудка куриная «Моссельпром» без кожи охлажденная (1,1 - 1,4 кг), 1 упаковка ~ 1,2 кг",https://www.auchan.ru/product/grudka_bez_kozhi_ohlpodllotok/,336.99,,Моссельпром
22708,"Бедро цыпленка-бройлера «Петруха» мякоть охлажденная, 750 г",https://www.auchan.ru/product/bedro-cyplenka-broylera-petruha-myakot-ohlazhdennaya-750-g/,350.99,,Петруха
58410,"Голень цыпленка-бройлера «Куриное Царство» с кожей охлажденное (0,8 - 1,1 кг), 1 упаковка ~ 0,9 кг",https://www.auchan.ru/product/golen_tmkurinoe_carstvo/,294.99,,Куриное Царство
56731,"Крылья куриные «Латифа» Халяль с кожей охлажденные (0,8 - 1,1 кг), 1 упаковка ~ 0,9 кг",https://www.auchan.ru/product/krylo_celoe_latifa_ohl/,331.99,,Латифа
55870,"Бедро куриное «Петелинка» охлажденное (1 - 1,3 кг), 1 упаковка ~ 1,1 кг",https://www.auchan.ru/product/bedro_kurinohl1kg_petelin/,273.99,,Петелинка
119032,"Набор для бульона из мяса цыпленка-бройлера «Каждый день» охлажденный, (0,6 - 1,3 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/kdn_r_dbulona_cb_ohl_lotok/,119.99,,Каждый день
4553,"Филе цыпленка «Петруха», 850 г",https://www.auchan.ru/product/file-petruha-cyplenka-broylera-850-g/,428.99,,Петруха
153549,"Филе бедра цыпленка-бройлера «Наша птичка» без кожи (0,6-0,9 кг), 1 упаковка ~ 0,8 кг",https://www.auchan.ru/product/file-bedra-bk-nasha-ptichka-ohl/,462.99,,Наша птичка
119029,"Крылья цыпленка-бройлера «Каждый день» (0,6-1 кг), 1 упаковка ~ 0,8 кг",https://www.auchan.ru/product/kdkrylya_cb_ohl_lotok/,299.99,,Каждый день
121410,"Крыло цыпленка-бройлера «Своя» (0,5-1 кг), 1 упаковка ~ 0,8 кг",https://www.auchan.ru/product/svoya_krylo_cb_ohl_lotok/,352.99,,СВОЯ
58338,"Филе домашнее «Домашняя курочка» (0,9 - 1,2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/file_domashneekg/,624.99,,Домашняя курочка
153528,"Плечевая часть крыла цыпленка-бройлера «Петруха» Alfoor охлажденная, 750 г",https://www.auchan.ru/product/plecho-kryla-750-gr-hal-alfur/,232.99,,Петруха
240942,"Филе цыпленка-бройлера «Троекурово» малое охлажденное, 450 г",https://www.auchan.ru/product/file-cb-maloe-450-g-ohl/,209.99,,Троекурово
87762,"Голень цыпленка-бройлера «Наша Птичка» охлажденная (0,7-1 кг), 1 упаковка ~0,8 кг",https://www.auchan.ru/product/golen_cb_nasha_ptichka_ohllot/,276.99,,Наша птичка
223282,"Мякоть бедра цыпленка-бройлера «Петруха Мастер» По-турецки на косточке в маринаде охлажденная, вес",https://www.auchan.ru/product/myakot-bedra-po-turecki/,475.99,,Петруха Мастер
56344,"Филе цыплят-бройлеров «Наша Птичка» охлажденное (0,8 - 1,1 кг), 1 упаковка ~ 0,9 кг",https://www.auchan.ru/product/file_cb_nasha_ptichka_ohllot/,454.99,,Наша птичка
118734,"Филе цыпленка-бройлера «Каждый день» (0,6-1 кг), 1 упаковка ~ 0,8 кг",https://www.auchan.ru/product/kd-file-cb-ohl-podlozhka-1/,399.99,,Каждый день
155015,"Тушка цыпленка-бройлера «Петелинка» охлажденная, вес",https://www.auchan.ru/product/tushka-cb-1kat-ohl-petelinka-s/,209,,Петелинка
121404,"Грудка цыпленка-бройлера «Своя», вес",https://www.auchan.ru/product/svoya_grudka_cb_ohl_lotok/,327.99,,СВОЯ
57134,"Голень цыплят-бройлеров An-Noor Халяль охлажденная (0,9 - 1,2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/golen_cb_halyal_5kg_ohllotok/,289.99,,An-Noor
